Comments,Year,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. function of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,491,NP-Dat Noun-Nom Cop не (в) ~Noun-Acc (без NP-Gen),NP-Dat Noun-Nom Cop не (в) Noun-Acc (без NP-Gen),Девочкам радость не в радость.,,,,,,,,,,,Clause,Nominal pattern,Nominal pattern; Reduplication,,Attitude,Emotional attitude,Temporary characteristics,Emotional state,,,,,,,Colloquial,,,,,,,,,,,Emotional attitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emotional state,,,
,,492,(NP-Dat) Cop в лом VP-Inf,(NP-Dat) Cop в лом VP-Inf,Маше вставать с кровати было в лом.,,,,,,,,,,,,Praedic,,,Attitude,Unwilling,Volition,,,,,,,,Colloquial,,,,,,,,,,,Unwilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,493,NP-Gen бы!,NP-Gen бы!,Чаю бы!,,,,,,,,,,,,Clause,,,Causation,Indirect,Volition,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,494,NP-Gen!,NP-Gen!,Спокойной ночи!,,,,,,,,,,,Clause,Clause,Noun,,Routine,Kind wishes,,,,,,,,Exclamatory,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kind wishes,,,,,,,,,,,
,,495,NP-Gen.Pl Cop выше крыши/головы,NP-Gen.Plur Cop выше крыши/головы,Проблем выше крыши.,,,,,,,,,,,,Praedic,,,Measure,,Degree of intensity,Booster,Assessment,Negative,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,Booster,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,496,NP-Gen.Pl NumCrd,NP-Gen.Pl NumCrd,На лекцию пришли человек двадцать.,,,,,,,,,,,,Nominal pattern,,,Degree of accuracy,Approximate,Measure,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,Approximate,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,497,(NP-Dat) NP-Gen2 Cop бы Pred,(NP-Dat) NP-Gen2 Cop бы Praedic,Кофейку неплохо бы.,,,,,,,,,,,,Clause,,,Causation,Indirect,Volition,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,498,NP-Ins NP-Nom Cop в NP-Acc,NP-Ins NP-Nom Cop в NP-Acc,Лицом она в мать.,,,,,,,,,,,Nominal pattern,Nominal pattern,Simplex prep,,Comparison,Similarity,,,,,,,,,NA,,,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,499,XP как XP,XP как XP,Мальчик был как ангел.,,,,,,,,,,,Clause,Conj,Conj,,Comparison,Similarity,,,,,,,,,NA,,,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500,NP-Nom Cop так себе,NP-Nom Cop так себе,Картина так себе.,,,,,,,,,,,Praedic,Praedic,,,Assessment,Negative,,,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,501,NP-Nom (опять/всё) за своё,NP-Nom (опять/всё) за своё,Витя опять за своё.,,,,,,,,,,,,Clause,,,Assessment,Negative,Phase of action,Inchoative,Attitude,Disapproval,,,,Assertive,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,,,Inchoative,,,,,,,,,,,,,,,,,,,,,
,,502,NP-Nom (это) Cop ещё ничего,NP-Nom (это) Cop ещё ничего,Это ещё ничего.,,,,,,,,,,,,Clause,,,Assessment,Positive,Attitude,Acceptance of the situation,,,,,,Exclamatory,Colloquial,,,,,,,,,,Positive,Acceptance of the situation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,503,XP (NP-Dat) Cop ни к чему,XP (NP-Dat) Cop ни к чему,Ещё одно платье мне ни к чему.,,,,,,,,,,,Praedic,Praedic,,,Assessment,Negative,Temporary characteristics,Appropriateness,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriateness,,,
,,504,VP-Ipfv без устали ,VP-Imp без устали ,Жена без устали готовила на кухне.,,,,,,,,,,,Adv,Adv,PP; Simplex prep; Noun,,Manner,,Degree of intensity,Booster,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,505,NP-Nom будто бы VP,NP-Nom будто бы VP,Маша будто бы ездила в другую страну.,,,,,,,,,,,Adv,Parenth,,,Epistemic modality,Low degree of certainty,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,506,NP-Nom в-Verb-ся в NP-Acc,NP-Nom в-Verb-ся в NP-Acc,Он хорошо вживается в образ.,,,,,,,,,,,,Verb pattern,,,Degree of intensity,Booster,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,507,NP-Nom вести в NP-Acc,NP-Nom вести в NP-Acc,Дверь вела в комнату.,,,,,,,,,,,,Verb pattern,,,Spatial expression,Path:Goal,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Path: Goal,,,,,,,
,,508,NP-Nom вести NP-Acc,NP-Nom вести NP-Acc,Врач ведёт больного после операции.,,,,,,,,,,,Verb pattern,Verb pattern,Verb,,Temporary characteristics,Sircumstances,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sircumstances,,,
,,510,NP-Nom готовый-Short VP-Inf,NP-Nom готовый-Short VP-Inf,Он готов открыть счёт в банке.,,,,,,,,,,,Praedic,Praedic,Adj,,Temporary characteristics,Emotional state,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emotional state,,,
,,511,NP-Nom (как) давай VP-Inf,NP-Nom (как) давай VP-Inf,Он как давай петь.,,,,,,,,,,,,Clause,,,Phase of action,Inchoative,Mirative,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,Inchoative,,,,,,,,,,,,,,,,,,,,,
,,512,NP-Nom до-Verb-ся (до NP-Gen),NP-Nom до-VP-ся (до NP-Gen),Евгения Борисовна без всякой причины дохохоталась до боли в животе.,,,,,,,,,,,,Verb pattern,,,Degree of intensity,Maximizer,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,Maximizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,513,NP-Nom закатиться/залиться NP-Ins,закатиться/залиться NP-Ins,Она закатилась слезами.,,,,,,,,,,,Verb pattern,,Verb,,Degree of intensity,Booster,Manner,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,514,(у NP-Gen) NP-Nom занять/занимать Num-Acc NP-Acc,(у NP-Gen) NP-Nom занять/занимать Num-Acc NP-Acc,У меня это заняло десять минут.,,,,,,,,,,,,Verb pattern,,,Time,Time period,Measure,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,Time period,,,,
,,515,NP-Nom знать толк в NP-Loc,NP-Nom знать толк в NP-Loc,Он знает толк в настольных играх.,,,,,,,,,,,Verb pattern,Verb pattern,,,Assessment,Positive,,,,,,,,,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,516,NP-Nom и так Verb-Pst,NP-Nom и так V-Past,Мы и так задержались.,,,,,,,,,,,,Adv,,,Discourse structure,Emphasis,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,517,NP и VP,NP и VP,"Меня пригласили, я и пришёл. ",,,,,,,,,,,,Adv,,,Discourse structure,Emphasis,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,518,VP за NP-Ins,VP за NP-Ins,Она пошла за врачом.,,,,,,,,,,,Adv,Verb pattern,Simplex prep,,Purpose,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,519,VP по NP-Acc,VP по NP-Acc,Родители пошли по грибы.,,,,,,,,,,,Adv,Verb pattern,Simplex prep,,Purpose,,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,520,NP из Adj-Gen,NP из Adj-Gen,Человек из любопытных,,,,,,,,,,,Adj,Adj / Nominal pattern,Prep,,Salient property,Belonging to a class,Subset,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belonging to a class,,,,Unspecified,,,,,,
,,521,NP из-под NP-Gen,NP из-под NP-Gen,Коробка из-под торта,,,,,,,,,,,Adj,Adj / Nominal pattern,Prep,,Salient property,Functionality,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Functionality,,,,,,,,,,
,,522,NP-Nom иметь вес при/в NP-Loc,NP-Nom иметь вес при/в NP-Loc,Он имел большой вес в обществе.,,,,,,,,,,,Clause,Nominal pattern / Verb pattern,Verb pattern; Nominal pattern,,Salient property,Status,Temporary characteristics,Importance,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,Importance,,,
,,523,NP как таковой,NP как таковой,Обучение как таковое ,,,,,,,,,,,,Adj,,,Salient property,Essence,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Essence,,,,,,,,,,
,,524,(это Cop) Noun-Nom как ~Noun-Nom,(это Cop) Noun-Nom как Noun-Nom,Хлеб как хлеб.,,,,,,,,,,,Clause,Clause,Reduplication; Conj,,Assessment,Positive; Negative,Salient property,Paragon,,,,,,Assertive,Colloquial,,,,,,,,,,"Positive, Negative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paragon,,,,,,,,,,
,,525,NP-Nom как VP-Pfv.Fut!,NP-Nom как VP-Fut.Perf!,Вся волчья стая как набросится на меня!,,,,,,,,,,,,Clause,,,Phase of action,Inchoative,Mirative,,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,Inchoative,,,,,,,,,,,,,,,,,,,,,
,,527,NP-Nom Cop на носу,NP-Nom Cop на носу,Зима на носу.,,,,,,,,,,,Praedic,Adv,Prep,,Timeline,Near future,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Near future,,
,,528,"NP-Nom на то и ~NP-Nom, чтобы VP-Inf","NP-Nom на то и NP-Nom, чтобы VP-Inf","Муж на то и муж, чтобы работать.",,,,,,,,,,,Matrix,Matrix,Reduplication; Conj; Prep,,Salient property,Essence,Purpose,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,Essence,,,,,,,,,,
,,529,NP-Nom на-Verb NP-Gen.Pl,NP-Nom на-VP NP-Gen.Plur,Он навёз домой много вещей.,,,,,,,,,,,,Verb pattern,,,Degree of intensity,Booster,Aspectuality,Cumulative,,,,,,,Colloquial,,,,,Cumulative,,,,,,,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,530,на-Verb-ся (NP-Ins),на-VP-ся (NP-Ins),Земля напиталась водой.,,,,,,,,,,,,Verb pattern,,,Result,subtype Result,Degree of intensity,Maximizer,Actionality,Saturative,,,,,NA,,,,,Saturative,,,,,,,,,,,,,,,,,Maximizer,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,
,,531,NP-Nom над-VP-ся над NP-Ins,NP-Nom над-VP-ся над NP-Ins,Они надругались над законами экономики.,,,,,,,,,,,,Verb pattern,,,Attitude,Disrespect,,,,,,,,,NA,,,,,,,,,,,Disrespect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,532,(ещё (и)) NP-Nom называется!,(ещё (и)) NP-Nom называется!,Молока не дает. Корова называется!,,,,,,,,,,,Clause,Clause,,,Assessment,Negative,Salient property,Matching the standard,,,,,,Exclamatory,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matching the standard,,,,,,,,,,
,,533,NP-Nom начинать NP-Ins,NP-Nom начинать NP-Ins,Он начинал учителем.,,,,,,,,,,,,Verb pattern,,,Salient property,Status,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
,,534,NP-Nom Cop (не) в силах/состоянии VP-Inf,NP-Nom Cop (не) в силах/состоянии VP-Inf,Он не в силах помочь тебе в этой ситуации.,,,,,,,,,,,Praedic,Praedic,PP; Negation,,Temporary characteristics,Physical state,Root modality,Possibility,Salient property,Capacity for an activity,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capacity for an activity,,,,,,,Physical state,,,
,,535,NP-Nom не выносить NP-Acc,NP-Nom не выносить NP-Acc,Она не выносит нецензурную речь.,,,,,,,,,,,,Verb pattern,,,Attitude,Preferences: Negative,Assessment,Negative,,,,,,,Colloquial,,,,,,,,,,Negative,Preferences: Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,536,NP-Nom не играть (никакой) роль,NP-Nom не играть (никакой) роль,Это обстоятельство не сыграло в его судьбе никакой роли.,,,,,,,,,,,,Verb pattern,,,Assessment,Positive; Negative,,,,,,,,,NA,,,,,,,,,,"Positive, Negative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,537,NP-Nom Cop (NP-Nom) не из Adj-Gen.Pl,NP-Nom Cop (NP-Nom) не из Adj-Gen.Plur,Спа – это удовольствие не из дешёвых.,,,,,,,,,,,,Adj / Nominal pattern,,,Subset,,Assessment,Negative,Salient property,Belonging to a class,,,,,NA,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belonging to a class,,,,Unspecified,,,,,,
,,538,NP-Nom не иметь (Adj) значения,NP-Nom не иметь (Adj) значения,Деньги уже не имеют значения.,,,,,,,,,,,,Clause,,,Assessment,Negative,,,,,,,,Assertive,NA,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,539,NP-Nom не преминуть VP-Inf,NP-Nom не преминуть VP-Inf,Он не преминул сделать замечания.,,,,,,,,,,,,Verb pattern,,,Result,subtype Result,,,,,,,,,Obsolete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,
,,540,ни в какую не VP,ни в какую не VP,Студент ни в какую не соглашается с преподавателем.,,,,,,,,,,,,Adv,,,Degree of intensity,Minimizer: Absence,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,Minimizer: Absence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,541,NP-Nom Cop ни при чём,NP-Nom Cop ни при чём,Мы тут были ни при чём.,,,,,,,,,,,Praedic,Praedic,,,Cause,,,,,,,,,,Colloquial,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,542,NP-Nom обернуться NP-Ins,обернуться NP-Ins,Дело обернулось бедой.,,,,,,,,,,,,Verb pattern,,,Result,subtype Result,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,
,,543,NP от NP-Gen,NP от NP-Gen,Ключ от двери,,,,,,,,,,,Adj,Adj / Nominal pattern,Prep,,Salient property,Functionality,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Functionality,,,,,,,,,,
,,544,NP-Nom отличаться NP-Ins,NP-Nom отличаться NP-Ins,Он отличается большой выносливостью.,,,,,,,,,,,Verb pattern,Light verb / Verb pattern,Light verb,,Salient property,Property assignment,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Property assignment,,,,,,,,,,
,,545,NP-Nom относиться к числу NP-Gen,NP-Nom относиться к числу NP-Gen,Он относится к числу скептиков.,,,,,,,,,,,,Verb pattern,,,Salient property,Belonging to a class,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belonging to a class,,,,,,,,,,
,,546,VP за NP-Acc,VP за NP-Acc,Они боролись за мир на земле.,,,,,,,,,,,Adv,Verb pattern,Simplex prep,,Purpose,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,547,NP-Nom пере-Verb-ся NP-Ins,NP-Nom пере-V-ся NP-Ins,Они перекидываются шутками.,,,,,,,,,,,Verb pattern,Verb pattern,Prefix; Suffix,,Manner,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,548,NP-Nom пребывать в NP-Loc,NP-Nom пребывать в NP-Loc,Он все это время пребывал в неведении.,,,,,,,,,,,Verb pattern,Verb pattern,Verb,,Temporary characteristics,Sircumstances,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sircumstances,,,
,,549,NP-Nom пребывать на/в NP-Loc/у NP-Gen,NP-Nom пребывать на/в NP-Loc/у NP-Gen,Охранник пребывает на посту.,,,,,,,,,,,,Verb pattern,,,Spatial expression,Location,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location,,,,,,,
,,550,NP-Nom прийтись-Pst (NP-Dat) впору/в самый раз/как раз/в аккурат,NP-Nom прийтись-Past (NP-Dat) впору/в самый раз/как раз/в аккурат,Сапоги пришлись ему впору.,,,,,,,,,,,,Verb pattern,,,Measure,Size,Degree of accuracy,Exact,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,Exact,,,,,,,,,Size,,,,,,,,,,,,,,,,,,,,,,,,,,
,,551,NP-Nom приходиться NP-Dat NP-Ins,NP-Nom приходиться NP-Dat NP-Ins,Этот мальчик приходится мне сыном.,,,,,,,,,,,Verb pattern,Light verb / Verb pattern,Light verb,,Salient property,Status,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
,,552,NP-Nom пройти/перешагнуть через NP-Acc,NP-Nom пройти/перешагнуть через NP-Acc,Дети прошли через всяческие испытания.,,,,,,,,,,,,Verb pattern,,,Temporary characteristics,Sircumstances,Result,subtype Result,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,Unspecified,,,,,,,Sircumstances,,,
,,553,прямо XP,прямо XP,Я прямо удивилась такой реакции.,,,,,,,,,,,,Adv,,,Degree of intensity,Maximizer,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,Maximizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,554,самый что ни на есть NP,самый что ни на есть NP,Ты самый что ни на есть умный человек!,,,,,,,,,,,,Adv,,,Assessment,Positive; Negative,Degree of intensity,Booster,,,,,,,NA,,,,,,,,,,"Positive, Negative",,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,555,NP-Nom сделаться NP-Ins/Adj-Ins,NP-Nom сделаться NP-Ins/Adj-Ins,Он сделался важным начальником.,,,,,,,,,,,,Verb pattern,,,Salient property,Status,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
,,556,NP-Nom слыть NP-Ins,NP-Nom слыть NP-Ins,Она слыла отличницей.,,,,,,,,,,,,Verb pattern,,,Salient property,Status,,,,,,,,,Obsolete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
,,557,"Cl, чтобы Cl","Cl, чтобы Cl","Я сообщил другу номер поезда, чтобы он меня встретил.",,,,,,,,,,,Biclausal,Matrix,Conj,,Purpose,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,558,VP/NP для NP-Gen,VP/NP для NP-Gen,Для удобства зрителей кресла заменили на новые.,,,,,,,,,,,Adv/Adj,Verb pattern,Simplex prep,,Purpose,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,559,VP VP-Inf,VP VP-Inf,Он лег отдохнуть. Все сели смотреть телевизор.,,,,,,,,,,,Verb pattern,Verb pattern,N/A,,Purpose,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,560,так и VP-Ipfv,NP-Nom так и VP-Imp,Кот так и сидит на окне.,,,,,,,,,,,Adv,Adv,Adv,,Phase of action,Continuative,Degree of intensity,Maximizer,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Maximizer,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,,,,,
,,561,таки VP,NP-Nom таки VP,Он таки добился успеха несмотря на все сложности.,,,,,,,,,,,,Adv,,,Mirative,,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
,,562,NP-Nom терпеть не мочь NP-Acc/VP-Ipfv.Inf,NP-Nom терпеть не мочь NP-Acc/VP-Imp.Inf,Я терпеть не могу соревноваться!,,,,,,,,,,,,Verb pattern,,,Attitude,Preferences: Negative,Assessment,Negative,,,,,,,Colloquial,,,,,,,,,,Negative,Preferences: Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,563,NP-Nom того стоить,NP-Nom того стоить,Поездка в Африку того стоит.,,,,,,,,,,,,Praedic,,,Assessment,Positive,,,,,,,,,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,564,"NP-Nom только и делать, что Cl","NP-Nom только и делать, что Cl","Он только и делает, что ходит в кино.",,,,,,,,,,,,Clause,,,Pluractionality,Frequentative,Quantification,Exclusive,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Frequentative,,,,,,,,,,,,,,,,,,,,
,,565,NP-Nom умудриться/ухитриться VP-Inf,умудриться/ухитриться VP-Inf,Он умудрился упасть.,,,,,,,,,,,,Verb pattern,,,Result,subtype Result,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,
,,566,NP-Nom числиться на/в NP-Loc,NP-Nom числиться на/в NP-Loc,Он числился на службе.,,,,,,,,,,,,Verb pattern,,,Salient property,Status,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
,,567,NP-Nom числиться Adj-Ins/NP-Ins,NP-Nom числиться Adj-Ins/NP-Ins,Он числился отстающим в классе.,,,,,,,,,,,,Verb pattern,,,Salient property,Status,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
,,568,"NP что, VP/Cop Pred?","NP что, VP/Cop Praedic?","Он что, выпивает?",,,,,,,,,,,,Clause,,,Discourse structure,Emphasis,Mirative,,,,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,Emphasis,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
,,569,чуть (было) не VP-Pfv.Pst,чуть (было) не VP-Past.Perf,Он чуть было не забыл про экзамен.,,,,,,,,,,,,Adv,,,Result,Antiresultative,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antiresultative,,,,,,,,,,,,,
,,571,"NP-Nom Cop Adj-Cmp, чем NP-Nom/VP Adv-Cmp, чем NP-Nom","NP-Nom Cop Adj-Cmp, чем NP-Nom/VP Adv-Cmp, чем NP-Nom","Она старше, чем ты.",,,,,,,,,,,Clause,Conj,Conj,,Comparison,Inequality,,,,,,,,,NA,,,,,,,,,,,,,,,,,Inequality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,572,NP-Nom Cop Adj-Nom до NP-Gen,NP-Nom Cop Adj-Nom до NP-Gen,Родители религиозные до фанатизма.,,,,,,,,,,,,Nominal pattern,,,Degree of intensity,Booster,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,573,NP-Nom Cop NP-Dat к лицу,NP-Nom Cop NP-Dat к лицу,Синее платье было ей к лицу.,,,,,,,,,,,,Praedic,,,Assessment,Positive,,,,,,,,,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
